Home,Draw,Away,Result
5.01,4.21,1.67,2
2.09,3.92,3.35,1
2.56,3.52,2.78,1
2.23,3.55,3.28,1
14.93,7.49,1.2,2
3.65,3.76,2.03,1
1.53,4.53,6.24,3
1.66,4.46,4.79,2
4.68,3.9,1.77,1
1.92,3.42,4.56,3
6.62,4.69,1.5,2
1.69,4.3,4.81,2
3.21,3.47,2.31,1
5.19,4.3,1.65,1
2.8,3.59,2.51,1
1.77,4.07,4.48,1
2.28,3.46,3.23,2
2.02,3.46,3.95,1
14.52,8.01,1.19,2
16.01,7.15,1.21,2
1.93,3.64,4.18,1
1.26,7.02,10.48,3
3.21,3.97,2.12,3
1.64,4.35,5.16,1
1.25,6.92,11.42,1
1.95,3.59,4.12,3
2.01,3.79,3.7,1
2.85,3.18,2.72,2
1.25,6.44,13.06,1
1.53,4.41,6.35,1
1.75,3.75,5.1,1
2.41,3.33,3.15,1
2.7,3.43,2.67,2
2.63,3.79,2.57,2
5.71,4.08,1.62,2
3.49,3.46,2.16,2
4.02,3.36,2.03,1
2.68,3.56,2.6,1
3.63,3.62,2.08,2
3.41,3.52,2.2,2
1.72,4.31,4.57,3
4.71,3.94,1.77,3
1.65,4.2,5.26,1
1.28,6.23,10.65,3
1.39,5.52,7.56,1
1.81,3.8,4.58,1
3.98,3.74,1.94,1
1.2,7.15,15.92,1
2.63,3.14,2.95,2
1.3,5.99,9.74,1
3.16,3.57,2.3,1
2.33,3.65,3.07,2
13.08,7.73,1.2,3
3.94,3.78,1.94,1
2.81,3.23,2.71,1
2.15,3.69,3.37,1
3.39,3.18,2.35,2
2.84,3.61,2.48,3
1.1,11.86,26.22,1
4.15,3.7,1.92,1
3.02,3.59,2.37,2
5.47,4.27,1.62,2
1.35,5.83,8.52,1
1.62,4.34,5.31,3
1.23,7.04,11.92,1
2.09,3.71,3.51,2
4.29,3.89,1.85,3
1.13,9.69,21.56,1
2.18,3.61,3.37,1
1.65,4.1,45.4,2
4.58,3.87,1.8,2
1.51,4.77,6.24,1
1.82,3.93,4.36,1
7.8,5.61,1.38,2
3.32,3.32,2.34,3
2.37,3.42,3.14,2
1.75,3.85,4.95,1
1.37,5.81,7.78,1
1.47,4.49,7.67,1
1.74,3.7,5.34,3
1.4,5.5,7.3,1
3,3.36,2.51,1
3.28,4.23,2.05,3
3.39,3.7,2.14,3
3.67,3.61,2.07,3
2.31,3.18,3.51,3
5.17,4.03,1.69,2
1.92,3.76,4.04,1
1.53,4.39,6.55,1
1.66,4.23,5.15,1
6.79,5.07,1.45,2
2.98,3.16,2.63,2
3.51,3.44,2.19,2
2.66,3.2,2.87,3
3.01,3.94,2.26,1
6.06,4.6,1.54,2
1.65,3.88,5.75,2
1.58,4.28,6.03,2
1.39,5.19,8.27,1
1.45,4.82,7.35,1
8.32,5.17,1.39,1
2.51,3.7,2.71,1
6.19,4.4,1.55,2
1.65,4.37,5.01,3
1.51,4.89,5.91,1
1.85,3.92,4.15,2
1.37,5.58,7.78,1
4.18,3.92,1.85,2
1.93,3.59,4.21,2
2.08,3.35,3.9,3
3.21,3.32,2.37,3
1.16,8.23,18.06,1
2.11,3.46,3.64,3
5.72,4.42,1.57,2
4.1,3.88,1.87,3
1.64,4.08,5.45,1
1.95,3.65,4.03,1
1.67,3.81,5.72,1
2,3.99,3.51,2
1.3,6.21,9.52,1
5.64,4.24,1.62,2
4.8,4.4,1.67,2
1.78,4.14,4.32,1
1.9,3.55,4.4,1
1.62,4.65,4.94,1
2.55,3.83,2.61,1
1.73,4,4.77,3
3.7,3.8,1.99,2
1.41,4.9,7.98,2
1.18,7.77,15.9,1
3.15,3.36,2.35,3
4.68,4.06,1.73,2
2.23,3.83,3.04,2
3.21,3.55,2.25,2
14.23,7.07,1.21,2
1.51,4.82,5.85,2
1.28,5.98,10.66,3
2.15,3.35,3.69,3
2.43,3.36,3.05,2
1.36,5.23,8.18,1
3.52,3.87,2.02,2
1.27,6.12,11.95,1
4.54,3.56,1.88,2
3.4,3.61,2.14,1
1.85,3.81,4.23,1
1.84,3.8,4.32,1
3.11,3.76,2.21,1
2.86,3.22,2.66,2
1.2,7.64,13,1
4.24,4.06,1.8,2
1.96,3.44,4.25,1
1.27,6.19,10.88,1
3.07,3.75,2.27,3
2.63,3.55,2.68,3
1.66,4.16,5.16,1
2.71,3.53,2.6,3
1.29,5.98,10.25,1
2.29,3.32,3.33,2
3.79,3.19,2.18,2
1.18,7.73,16.03,1
9.14,5.46,1.34,2
1.3,6.2,10.3,1
1.9,3.71,4.18,1
1.36,5.89,8.1,1
3.22,4.01,2.12,3
2.63,3.42,2.76,1
3.79,3.77,1.97,2
1.73,4.1,4.68,2
2.11,3.92,3.25,3
2.65,3.47,2.69,3
2.93,3.66,2.38,3
2.67,3.89,2.48,2
8.6,6.01,1.33,1
1.86,3.84,4.19,1
2.11,3.55,3.58,1
2.26,3.73,3.09,1
2.21,3.59,3.3,2
1.77,4.08,4.33,2
2.65,3.46,2.71,1
1.64,4.52,4.88,3
2.28,3.49,3.19,2
1.34,5.71,8.39,1
2.18,4.12,2.99,1
2.62,3.54,2.69,1
1.23,7.27,11.99,1
2.74,3.44,2.64,2
1.87,4,3.98,3
2.35,3.6,3,3
2.87,3.55,2.47,2
1.51,5.21,5.53,1
1.55,4.47,6.02,3
2.01,3.56,3.89,3
6.16,5.12,1.47,2
3.77,4.01,1.93,1
10.03,6.89,1.27,2
1.47,4.9,6.6,1
2.79,3.58,2.51,3
1.36,5.45,8.38,1
2.59,3.59,2.7,3
2.43,3.84,2.76,3
1.11,12.34,20.7,1
3.17,3.49,2.32,3
2.46,3.86,2.71,1
2.37,3.85,2.84,1
5.43,4.31,1.6,1
1.72,4.35,4.37,3
3.87,4.45,1.82,2
2.06,3.82,3.47,3
5.48,4.97,1.53,2
4.69,4.15,1.72,1
2.02,3.87,3.55,3
2.56,3.22,2.99,2
2.36,3.52,3.07,2
1.25,6.86,12,1
3.16,3.63,2.25,3
1.48,4.78,6.67,1
2.54,3.64,2.73,1
1.71,4.31,4.55,1
1.07,14.64,27.42,1
1.68,4.33,4.78,2
2.88,3.49,2.48,1
2.8,3.58,2.52,3
2.33,3.61,3.06,2
2.47,3.7,2.79,1
9.22,6.19,1.31,2
6.28,4.92,1.49,2
1.79,3.87,4.57,1
2.04,3.62,3.71,2
2.59,3.39,2.83,2
4.44,4.14,1.77,2
1.29,6.62,9.18,1
1.76,3.95,4.67,1
1.13,10.43,19.93,1
1.28,6.13,10.98,1
2.63,3.77,2.57,2
1.83,3.81,4.44,2
1.71,4.13,4.86,1
1.28,6.32,10.65,3
1.9,3.76,4.13,1
2.19,3.77,3.22,3
1.84,3.83,4.41,1
2.87,3.81,2.32,1
4.04,4.4,1.79,3
2.82,3.57,2.5,2
2.3,3.71,3.03,2
3.14,3.57,2.3,1
5.36,4.53,1.6,2
2.15,3.51,3.52,1
3.16,4.08,2.12,2
2.23,3.47,3.32,3
1.2,7.56,13.12,1
2.41,3.63,2.87,1
2.53,3.48,2.76,1
4.54,4.39,1.69,2
1.13,9.49,17.48,1
