home_team,away_team,home_odds,draw_odds,away_odds,winning_outcome,winning_odd
Bournemouth,Leicester,1.33,5.55,8.52,Home,1.33
Fulham,Manchester City,6.03,4.51,1.51,Away,1.51
Ipswich,West Ham,3.2,3.57,2.21,Away,2.21
Liverpool,Crystal Palace,1.36,5.96,6.96,Draw,5.96
Manchester Utd,Aston Villa,4.71,4.28,1.66,Home,4.71
Newcastle,Everton,1.27,6.09,10.41,Away,10.41
Nottingham,Chelsea,3.44,3.75,2.04,Away,2.04
Southampton,Arsenal,11.48,6.41,1.25,Away,1.25
Tottenham,Brighton,3.75,4.0,1.89,Away,1.89
Wolves,Brentford,2.93,3.75,2.29,Draw,3.75
Crystal Palace,Wolves,2.39,3.29,3.11,Home,2.39
Manchester City,Bournemouth,1.34,5.55,8.4,Home,1.34
Brighton,Liverpool,2.21,3.87,2.99,Home,2.21
Arsenal,Newcastle,1.9,3.73,3.94,Home,1.9
Brentford,Fulham,2.04,3.72,3.49,Away,3.49
Leicester,Ipswich,2.25,3.66,3.04,Home,2.25
West Ham,Nottingham,2.97,3.36,2.43,Away,2.43
Everton,Southampton,1.43,4.74,7.39,Home,1.43
Chelsea,Manchester Utd,1.57,4.48,5.41,Home,1.57
Aston Villa,Tottenham,1.26,6.61,10.11,Home,1.26
Liverpool,Arsenal,2.23,3.57,3.15,Draw,3.57
Manchester Utd,West Ham,2.0,3.65,3.66,Away,3.66
Nottingham,Leicester,1.4,5.0,7.57,Draw,5.0
Tottenham,Crystal Palace,3.09,3.63,2.25,Away,2.25
Newcastle,Chelsea,2.24,3.69,3.02,Home,2.24
Bournemouth,Aston Villa,2.56,3.52,2.67,Away,2.67
Fulham,Everton,1.76,3.68,4.91,Away,4.91
Ipswich,Brentford,5.63,4.67,1.52,Away,1.52
Southampton,Manchester City,13.75,7.54,1.19,Draw,7.54
Wolves,Brighton,2.99,3.33,2.43,Away,2.43
Crystal Palace,Nottingham,2.19,3.44,3.42,Draw,3.44
Chelsea,Liverpool,2.31,3.76,2.86,Home,2.31
Brentford,Manchester Utd,1.64,4.33,4.76,Home,1.64
Brighton,Newcastle,3.12,3.7,2.19,Draw,3.7
West Ham,Tottenham,1.85,3.93,4.04,Draw,3.93
Arsenal,Bournemouth,1.67,4.05,5.03,Away,5.03
Everton,Ipswich,1.56,4.26,5.87,Draw,4.26
Leicester,Southampton,2.42,3.54,2.87,Home,2.42
Aston Villa,Fulham,1.87,3.71,4.16,Home,1.87
Manchester City,Wolves,1.33,5.48,9.23,Home,1.33
Nottingham,Brentford,2.31,3.52,3.06,Away,3.06
Liverpool,Tottenham,1.2,7.48,12.67,Home,1.2
Bournemouth,Manchester Utd,1.96,3.78,3.68,Draw,3.78
Brighton,West Ham,1.78,3.93,4.3,Home,1.78
Newcastle,Ipswich,1.18,7.83,15.58,Home,1.18
Southampton,Fulham,5.05,4.08,1.65,Away,1.65
Wolves,Leicester,1.53,4.34,5.99,Home,1.53
Chelsea,Everton,1.43,4.79,7.22,Home,1.43
Arsenal,Crystal Palace,1.4,4.78,8.52,Draw,4.78
Manchester City,Aston Villa,1.89,3.92,3.89,Home,1.89
Tottenham,Nottingham,2.37,3.48,2.99,Away,2.99
Leicester,Liverpool,11.67,6.96,1.22,Away,1.22
Fulham,Chelsea,3.08,3.56,2.29,Away,2.29
Ipswich,Arsenal,8.82,5.11,1.36,Away,1.36
Manchester Utd,Wolves,2.56,3.43,2.75,Away,2.75
Aston Villa,Newcastle,2.5,3.6,2.69,Home,2.5
Brentford,Brighton,2.63,3.59,2.54,Home,2.63
Crystal Palace,Bournemouth,2.54,3.48,2.71,Draw,3.48
Everton,Manchester City,4.01,3.63,1.91,Away,1.91
West Ham,Southampton,1.61,4.24,5.13,Draw,4.24
Newcastle,Crystal Palace,1.66,3.95,5.05,Home,1.66
Bournemouth,Fulham,2.21,3.37,3.34,Home,2.21
Newcastle,Manchester Utd,1.6,4.26,5.23,Home,1.6
Chelsea,Ipswich,1.2,7.19,12.95,Draw,7.19
Liverpool,West Ham,1.28,5.79,10.44,Home,1.28
Wolves,Tottenham,2.25,3.54,3.09,Home,2.25
Arsenal,Brentford,1.62,4.15,5.18,Draw,4.15
Brighton,Leicester,1.28,5.9,9.81,Draw,5.9
Nottingham,Everton,1.95,3.33,4.17,Away,4.17
Southampton,Aston Villa,6.01,4.47,1.51,Away,1.51
Manchester City,Crystal Palace,1.62,4.19,5.05,Home,1.62
Leicester,Newcastle,6.82,4.58,1.46,Away,1.46
Manchester Utd,Manchester City,3.41,3.63,2.06,Draw,3.63
Brentford,Chelsea,2.91,3.56,2.33,Draw,3.56
Fulham,Liverpool,4.17,3.48,1.9,Home,4.17
Tottenham,Southampton,1.36,5.37,7.65,Home,1.36
Aston Villa,Nottingham,2.12,3.31,3.52,Home,2.12
Crystal Palace,Brighton,2.52,3.36,2.77,Home,2.52
Ipswich,Wolves,2.79,3.18,2.63,Away,2.63
